description|6|12|18|24|30|36|42|48|54|60|66|72|78|84|90|96|102|108|114|120
HMNIPrevious cycle HMON, adjusted (Interpolated 06 hours)|-|14.1N 71.0W|-|14.0N 75.3W|-|14.3N 79.2W|-|15.0N 82.9W|-|15.6N 85.9W|-|16.3N 88.0W|-|17.3N 89.6W|-|18.5N 91.5W|-|19.3N 93.4W|-|19.7N 95.3W
HWFIPrevious cycle HWRF, adjusted (Interpolated 06 hours)|-|14.0N 71.2W|-|14.5N 75.3W|-|15.1N 79.5W|-|15.9N 83.5W|-|16.8N 86.8W|-|17.6N 89.0W|-|18.5N 90.5W|-|19.4N 91.6W|-|20.6N 92.4W|-|22.3N 93.2W
ICONIntensity Consensus (For 2016, consensus of all: DSHP + LGEM + GHMI + HWFI)|-|37 knots|-|42 knots|-|49 knots|-|56 knots|-|59 knots|-|59 knots|-|37 knots|-|33 knots|-|39 knots|-|46 knots
IVCNIntensity Consensus (For 2017, consensus of at least two of: HWFI / CTCI / DSHP / LGEM)|-|36 knots|-|41 knots|-|46 knots|-|51 knots|-|53 knots|-|52 knots|-|35 knots|-|31 knots|-|37 knots|-|45 knots
IVCX|-|36 knots|-|40 knots|-|47 knots|-|51 knots|-|52 knots|-|51 knots|-|34 knots|-|30 knots|-|38 knots|-|47 knots
IVRIIntensity Consensus (Consensus of five: DHSP / LGEM / GHMI / HWFI / CTCI / RI?? (RI25 or RI30 or RI35 or RI40)|-|36 knots|-|41 knots|-|46 knots|-|51 knots|-|53 knots|-|52 knots|-|35 knots|-|31 knots|-|37 knots|-|45 knots
LGEMSHIPS Logistic Growth Equation Model|-|14.1N 70.7W|-|14.4N 74.8W|-|14.8N 78.6W|-|15.6N 81.7W|-|16.5N 85.1W|-|17.4N 88.1W|-|18.0N 90.1W|-|18.5N 91.1W|-|19.0N 92.3W|-|19.6N 93.8W
NAMINWS / NAM model (Interpolated 06 hours)|-|14.2N 70.3W|-|14.9N 74.2W|-|15.7N 78.2W|-|16.7N 81.6W|-|18.0N 84.9W|-|19.7N 87.3W|-|21.4N 89.7W|-|-|-|-|-|-
NGX2NAVGEM [GFS tracker] (Interpolated 12 hours) - 2013 and later (previously version of NOGAPS)|-|14.5N 70.4W|-|15.2N 74.2W|-|16.1N 78.6W|-|16.9N 83.1W|-|17.7N 86.6W|-|18.7N 89.1W|-|19.8N 91.1W|-|20.7N 92.9W|-|21.2N 93.9W|-|22.1N 95.1W
NVGINAVGEM (Interpolated 06 hours)|-|14.4N 70.6W|-|15.1N 74.5W|-|16.2N 78.6W|-|17.4N 83.0W|-|18.4N 86.6W|-|19.1N 89.3W|-|19.8N 91.4W|-|20.2N 93.0W|-|20.6N 94.0W|-|21.3N 95.0W
OCD5CLP5 (track) and DSF5 (intensity) models merged|-|14.3N 70.6W|-|14.8N 74.0W|-|15.4N 77.1W|-|16.2N 80.0W|-|17.0N 82.6W|-|17.7N 85.0W|-|18.5N 87.2W|-|19.5N 89.2W|-|20.5N 90.4W|-|21.5N 91.4W
OFCINational Hurricane Center (NHC) official forecast, in ATCF system and not from advisory data (Interpolated 06 hours)|-|14.1N 70.8W|-|14.4N 74.8W|-|14.9N 78.5W|-|15.6N 81.8W|-|16.5N 85.0W|-|17.3N 87.6W|-|17.9N 89.6W|-|18.5N 91.2W|-|19.0N 92.5W|-|19.5N 93.8W
OFCLNational Hurricane Center (NHC) official forecast (in ATCF system and not from advisory data)|-|14.1N 70.9W|-|14.4N 74.9W|-|14.9N 78.7W|-|15.7N 82.4W|-|-|-|17.5N 88.0W|-|-|-|19.0N 91.5W|-|-|-|19.5N 93.5W
RVCNR34 Wind Radii Consensus (For 2017 consensus composition: AHNI / EMXI / HHFI)|-|14.0N 71.0W|-|14.3N 75.1W|-|14.7N 79.0W|-|15.5N 82.6W|-|16.5N 86.0W|-|17.2N 88.6W|-|18.0N 90.3W|-|18.8N 91.6W|-|19.4N 92.7W|-|20.1N 93.7W
SHF5Statistical Hurricane Intensity Forecast (SHIFOR) intensity model 5-day|-|38 knots|-|44 knots|-|50 knots|-|54 knots|-|62 knots|-|66 knots|-|67 knots|-|72 knots|-|77 knots|-|86 knots
SHIPStatistical Hurricane Intensity Prediction Scheme (SHIPS) model|-|14.1N 70.7W|-|14.4N 74.8W|-|14.8N 78.6W|-|15.6N 81.7W|-|16.5N 85.1W|-|17.4N 88.1W|-|18.0N 90.1W|-|18.5N 91.1W|-|19.0N 92.3W|-|19.6N 93.8W
TABDTrajectory and Beta Model, deep layer (NHC)|13.9N 69.0W|14.0N 70.9W|14.0N 73.0W|14.2N 75.1W|14.5N 77.3W|14.9N 79.5W|15.3N 81.8W|15.6N 84.2W|15.8N 86.3W|15.8N 88.1W|15.8N 89.6W|15.8N 90.8W|15.7N 91.8W|15.6N 92.5W|15.5N 93.0W|15.2N 93.4W|14.9N 93.8W|14.6N 94.0W|14.3N 94.2W|14.0N 94.4W
TABMTrajectory and Beta Model, medium layer (NHC)|14.0N 68.9W|14.3N 70.9W|14.5N 73.1W|14.8N 75.3W|15.1N 77.6W|15.3N 80.1W|15.4N 82.5W|15.5N 84.8W|15.4N 86.8W|15.3N 88.4W|15.1N 89.6W|15.2N 90.5W|15.4N 91.1W|15.7N 91.5W|15.9N 91.7W|16.2N 92.0W|16.4N 92.3W|16.7N 92.6W|16.9N 92.9W|17.3N 93.2W
TABSTrajectory and Beta Model, shallow layer (NHC)|14.1N 68.8W|14.4N 70.6W|14.6N 72.5W|15.0N 74.6W|15.4N 76.7W|15.9N 78.8W|16.3N 81.0W|16.7N 83.3W|17.1N 85.4W|17.4N 87.3W|17.4N 88.9W|17.5N 90.5W|17.5N 91.6W|17.4N 92.4W|17.1N 93.1W|16.9N 93.5W|16.8N 93.7W|16.7N 93.7W|16.6N 93.9W|16.7N 94.1W
TCLPTrajectory CLImatology and PERsistance (CLIPER) model 7-day|-|14.2N 70.7W|-|14.8N 74.2W|-|15.4N 77.3W|-|16.1N 80.1W|-|16.9N 82.7W|-|17.6N 85.1W|-|18.3N 87.4W|-|19.1N 89.4W|-|19.8N 91.4W|-|20.5N 93.3W
TCOAConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|14.0N 71.0W|-|14.3N 75.0W|-|14.9N 78.9W|-|15.8N 82.6W|-|16.8N 86.0W|-|17.5N 88.7W|-|18.3N 90.4W|-|19.0N 91.8W|-|19.7N 92.8W|-|20.4N 93.8W
TCOEConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|14.0N 71.0W|-|14.3N 75.0W|-|14.9N 78.9W|-|15.8N 82.6W|-|16.8N 86.0W|-|17.5N 88.7W|-|18.3N 90.4W|-|19.0N 91.8W|-|19.7N 92.8W|-|20.4N 93.8W
TCONConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|14.0N 71.0W|-|14.3N 75.0W|-|14.9N 78.9W|-|15.8N 82.6W|-|16.8N 86.0W|-|17.5N 88.7W|-|18.3N 90.4W|-|19.0N 91.8W|-|19.7N 92.8W|-|20.4N 93.8W
TVCAConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI)|-|14.1N 70.9W|-|14.4N 75.0W|-|14.9N 78.8W|-|15.7N 82.4W|-|16.7N 85.8W|-|17.5N 88.4W|-|18.2N 90.2W|-|18.8N 91.6W|-|19.3N 92.6W|-|19.9N 93.6W
TVCEConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI / NGPI)|-|14.1N 70.9W|-|14.4N 75.0W|-|14.9N 78.8W|-|15.7N 82.4W|-|16.7N 85.8W|-|17.5N 88.4W|-|18.2N 90.2W|-|18.8N 91.6W|-|19.3N 92.6W|-|19.9N 93.6W
TVCNConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI)|-|14.1N 70.9W|-|14.4N 75.0W|-|14.9N 78.8W|-|15.7N 82.4W|-|16.7N 85.8W|-|17.5N 88.4W|-|18.2N 90.2W|-|18.8N 91.6W|-|19.3N 92.6W|-|19.9N 93.6W
TVCXConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXIx2 / HWFI / CTCI / EGRI)|-|14.1N 70.9W|-|14.4N 74.9W|-|14.9N 78.7W|-|15.7N 82.3W|-|16.7N 85.7W|-|17.5N 88.3W|-|18.2N 90.0W|-|18.7N 91.4W|-|19.2N 92.5W|-|19.7N 93.6W
TVCYConsensus Track Guidance (For 2016, consensus of at least two of: AVNIx2 / EGRI / GHMI / HWFI / EMXIx2 / CTCI)|-|14.0N 70.9W|-|14.3N 75.0W|-|14.8N 78.8W|-|15.6N 82.3W|-|16.6N 85.7W|-|17.4N 88.4W|-|18.1N 90.2W|-|18.7N 91.6W|-|19.1N 92.7W|-|19.6N 93.7W
UKX2UKMET [GFS tracker] (Interpolated 12 hours)|-|14.2N 70.7W|-|14.7N 74.5W|-|15.5N 78.1W|-|16.6N 81.6W|-|17.6N 84.9W|-|18.4N 87.8W|-|18.9N 89.7W|-|19.5N 91.1W|-|19.7N 92.2W|-|20.0N 93.2W
XTRPA simple extrapolation using past 12-hr motion|-|14.0N 70.7W|-|14.2N 74.5W|-|14.4N 78.3W|-|14.6N 82.1W|-|14.8N 85.9W|-|15.0N 89.8W|-|15.2N 93.6W|-|15.3N 97.4W|-|15.5N 101.2W|-|15.7N 105.1W
AC00GFS Ensemble Control Member|14.0N 69.3W|13.9N 71.2W|13.7N 73.2W|13.8N 75.6W|13.8N 77.6W|13.6N 79.6W|13.7N 81.1W|14.5N 83.0W|15.0N 84.5W|16.0N 86.1W|16.5N 88.1W|16.6N 89.4W|16.7N 90.5W|16.9N 91.5W|17.1N 92.5W|-|-|-|-
AEMNGFS Ensemble Mean|13.8N 69.5W|13.8N 71.2W|13.7N 73.2W|13.8N 75.5W|13.9N 77.6W|14.1N 79.3W|14.4N 81.0W|14.7N 83.1W|15.1N 84.9W|15.7N 86.4W|16.3N 87.8W|16.7N 89.1W|17.2N 90.0W|17.8N 90.6W|18.0N 91.4W|18.3N 92.4W|18.6N 92.7W|18.7N 93.2W|18.9N 93.6W
AP01GFS Ensemble +01 member|13.8N 69.7W|14.0N 71.2W|14.1N 73.4W|14.3N 75.6W|14.7N 77.5W|15.4N 79.2W|16.0N 81.4W|16.4N 83.8W|16.8N 85.7W|16.9N 87.1W|16.8N 88.2W|17.1N 88.9W|17.4N 89.7W|17.6N 90.1W|18.0N 90.8W|18.6N 91.7W|19.2N 92.6W|19.2N 93.4W|19.1N 94.2W
AP02GFS Ensemble +02 member|13.8N 69.8W|13.9N 71.6W|13.9N 73.7W|14.0N 76.2W|14.0N 78.0W|14.0N 79.6W|14.8N 81.5W|14.7N 83.8W|16.1N 86.2W|16.6N 87.8W|16.7N 89.5W|17.1N 90.8W|17.7N 92.0W|18.0N 92.9W|18.1N 93.8W|18.2N 94.7W|18.0N 95.2W|17.6N 95.6W|-
AP03GFS Ensemble +03 member|13.9N 69.8W|13.9N 71.4W|13.8N 73.4W|13.7N 75.6W|13.9N 77.6W|14.3N 79.1W|14.9N 81.0W|15.5N 83.0W|15.9N 84.9W|16.1N 86.4W|16.3N 87.9W|16.5N 89.0W|16.7N 89.8W|17.0N 90.1W|17.9N 90.6W|19.2N 91.4W|20.2N 92.2W|20.6N 92.9W|20.7N 93.6W
AP04GFS Ensemble +04 member|13.8N 69.1W|13.8N 70.8W|13.8N 72.7W|13.9N 74.9W|14.0N 76.8W|14.4N 78.2W|14.9N 79.9W|15.1N 82.2W|15.8N 84.0W|16.6N 85.6W|17.1N 87.2W|17.5N 88.6W|17.5N 90.0W|-|-|-|-|-|-
AP05GFS Ensemble +05 member|13.7N 69.6W|13.6N 71.1W|13.6N 72.9W|13.8N 75.0W|13.7N 77.5W|13.4N 79.1W|13.1N 80.8W|13.5N 82.0W|13.9N 83.3W|14.3N 84.2W|15.5N 85.9W|16.6N 86.7W|18.1N 87.1W|19.3N 88.0W|19.6N 89.7W|19.8N 90.9W|20.2N 91.7W|20.4N 92.3W|20.6N 92.9W
AP06GFS Ensemble +06 member|13.9N 69.7W|13.9N 71.1W|13.8N 72.9W|14.1N 75.3W|14.1N 77.9W|14.7N 79.3W|14.4N 81.1W|14.7N 83.2W|15.2N 84.6W|16.0N 86.5W|16.4N 88.0W|16.8N 89.1W|16.7N 90.6W|-|-|-|-|-|-
AP07GFS Ensemble +07 member|13.6N 69.7W|13.6N 71.2W|13.6N 73.2W|13.5N 75.6W|13.6N 77.6W|13.9N 79.4W|13.9N 81.3W|14.2N 82.9W|14.8N 84.1W|15.4N 85.3W|16.1N 86.9W|16.3N 88.7W|17.0N 89.5W|17.3N 90.3W|17.1N 90.9W|17.2N 91.3W|17.5N 91.8W|17.8N 92.5W|18.0N 93.3W
AP08GFS Ensemble +08 member|13.5N 70.1W|13.6N 71.5W|13.5N 73.8W|13.5N 76.1W|13.5N 78.2W|13.8N 79.9W|14.4N 81.6W|14.8N 83.4W|15.4N 85.1W|16.2N 86.7W|16.6N 88.5W|17.0N 90.0W|17.5N 91.0W|18.3N 91.9W|18.9N 92.8W|19.4N 93.7W|19.8N 94.2W|19.8N 94.6W|19.9N 95.1W
AP09GFS Ensemble +09 member|13.9N 69.6W|14.0N 71.2W|13.8N 73.3W|13.9N 75.8W|14.1N 78.0W|14.2N 79.8W|15.0N 81.1W|15.6N 83.0W|15.0N 85.9W|15.2N 88.1W|16.1N 88.4W|16.6N 90.0W|17.1N 91.4W|17.4N 92.5W|17.4N 93.0W|17.8N 94.3W|17.2N 94.4W|17.2N 94.6W|17.0N 94.7W
AP10GFS Ensemble +10 member|13.6N 69.4W|13.7N 71.1W|13.4N 73.3W|13.5N 75.6W|13.8N 77.6W|13.8N 79.2W|14.2N 80.7W|14.4N 82.8W|-|-|-|-|-|-|-|-|-|-|-
AP11GFS Ensemble +11 member|13.8N 69.1W|13.9N 71.0W|13.8N 73.0W|13.9N 75.2W|13.9N 77.5W|14.1N 79.2W|14.5N 81.0W|15.1N 83.2W|15.6N 85.2W|16.1N 86.8W|15.8N 88.4W|15.9N 89.3W|16.4N 90.1W|16.8N 90.8W|17.3N 91.8W|15.3N 93.6W|15.1N 93.8W|15.5N 93.9W|15.7N 94.2W
AP12GFS Ensemble +12 member|13.7N 69.7W|13.7N 71.3W|13.5N 73.3W|13.6N 75.7W|13.7N 77.9W|14.0N 79.4W|14.3N 81.0W|14.6N 82.9W|15.1N 84.2W|15.6N 85.0W|16.7N 86.4W|17.6N 87.7W|18.4N 88.8W|18.5N 89.5W|18.7N 90.1W|19.2N 91.1W|19.6N 91.9W|19.5N 92.4W|19.4N 92.8W
AP13GFS Ensemble +13 member|13.8N 69.5W|13.7N 71.4W|13.4N 73.5W|13.3N 76.2W|13.2N 78.5W|13.2N 80.4W|13.4N 82.1W|13.8N 84.2W|13.9N 86.0W|15.0N 87.6W|15.5N 89.2W|15.5N 91.1W|16.2N 91.8W|16.9N 93.0W|17.2N 93.7W|17.2N 94.3W|-|-|-
AP14GFS Ensemble +14 member|13.8N 68.9W|13.7N 70.4W|13.5N 72.2W|13.8N 74.2W|14.2N 76.0W|14.5N 77.7W|15.1N 79.5W|15.9N 82.1W|16.5N 84.6W|16.8N 85.9W|17.1N 87.0W|17.6N 87.9W|17.9N 89.0W|17.9N 89.7W|18.3N 90.4W|18.6N 91.1W|18.8N 91.5W|19.0N 91.9W|19.4N 92.6W
AP15GFS Ensemble +15 member|14.2N 69.5W|14.3N 71.6W|14.1N 73.8W|14.2N 76.3W|14.1N 78.4W|14.0N 80.1W|13.7N 82.2W|13.9N 84.2W|14.3N 86.0W|15.5N 87.4W|16.3N 88.6W|16.6N 90.1W|-|-|-|-|-|-|-
AP16GFS Ensemble +16 member|13.7N 69.3W|13.9N 71.0W|13.7N 72.9W|13.8N 75.1W|13.8N 77.3W|14.2N 78.8W|14.1N 80.5W|13.5N 82.5W|14.2N 85.0W|-|-|-|-|-|-|-|-|-|-
AP17GFS Ensemble +17 member|13.7N 70.0W|13.8N 71.6W|13.9N 73.8W|14.0N 76.4W|14.2N 78.8W|14.3N 80.6W|14.5N 82.5W|14.5N 84.2W|14.8N 85.9W|15.5N 87.4W|15.3N 88.6W|15.7N 89.5W|16.2N 90.0W|-|-|-|-|-|-
AP18GFS Ensemble +18 member|13.8N 69.1W|13.8N 70.6W|13.6N 72.6W|13.7N 74.6W|13.7N 76.5W|14.2N 77.9W|14.8N 79.7W|15.6N 82.0W|16.3N 83.8W|17.0N 85.2W|17.2N 86.8W|17.5N 87.7W|17.9N 88.3W|18.2N 88.8W|17.9N 89.8W|18.6N 90.4W|18.9N 90.9W|18.9N 91.6W|19.1N 92.1W
AP19GFS Ensemble +19 member|14.1N 69.4W|14.1N 70.9W|14.0N 72.8W|14.2N 75.0W|14.3N 77.1W|14.6N 78.8W|14.9N 80.6W|14.7N 82.8W|14.7N 85.1W|15.2N 87.1W|16.1N 87.8W|16.5N 89.0W|16.0N 90.4W|-|-|-|-|-|-
AP20GFS Ensemble +20 member|13.6N 69.5W|13.7N 71.2W|13.5N 73.1W|13.7N 75.4W|13.9N 77.4W|13.7N 79.4W|13.0N 81.3W|12.7N 83.2W|13.1N 84.2W|13.3N 84.9W|-|-|-|-|-|-|-|-|-
AVNONWS / Global Forecast System (GFS model)|14.0N 69.2W|13.8N 71.1W|13.6N 73.2W|13.8N 75.3W|13.9N 77.3W|14.1N 79.3W|14.4N 80.7W|15.2N 82.5W|15.9N 84.5W|16.1N 86.7W|16.3N 88.4W|16.7N 89.5W|17.0N 90.5W|17.5N 90.9W|18.0N 91.8W|18.4N 92.7W|18.9N 93.2W|19.0N 93.6W|19.0N 94.3W
CEMICanadian model Ensemble Mean (Interpolated 06 hours)|13.9N 68.6W|-|14.3N 72.2W|-|15.0N 75.8W|-|15.8N 79.2W|-|16.6N 82.5W|-|17.5N 85.3W|-|18.5N 87.5W|-|19.3N 89.3W|-|19.8N 90.6W|-|20.4N 91.5W
CMCICanadian model (Interpolated 06 hours)|14.0N 68.5W|-|14.5N 72.1W|-|15.3N 75.9W|-|16.3N 79.7W|-|17.4N 83.5W|-|18.1N 86.3W|-|18.5N 88.0W|-|19.5N 89.2W|-|20.4N 90.1W|-|21.1N 91.1W
COTCNRL COAMPS-TC model (Navy Regional Hurricane Model)|14.2N 69.1W|14.3N 71.0W|14.1N 72.9W|14.3N 75.1W|15.0N 76.9W|15.5N 78.3W|16.4N 80.4W|17.4N 82.6W|18.2N 84.5W|18.7N 86.3W|19.0N 87.8W|19.8N 89.0W|20.4N 90.1W|20.5N 91.0W|20.7N 92.1W|21.1N 92.9W|21.1N 93.6W|21.0N 94.6W|20.8N 95.1W
CTCXNRL COAMPS-TC 5km model (experimental version)|13.9N 69.7W|13.8N 70.9W|13.8N 72.9W|14.4N 75.2W|14.5N 77.2W|14.5N 79.0W|14.6N 80.8W|15.4N 82.3W|15.9N 84.7W|16.9N 86.3W|16.9N 87.8W|17.4N 88.8W|17.7N 89.8W|18.4N 90.4W|18.0N 91.4W|18.1N 91.7W|18.2N 92.3W|18.4N 92.5W|18.8N 92.8W
EGRIUKMET model GTS (Official), with subjective quality control applied to the tracker (Interpolated 06 hours)|14.2N 68.5W|-|14.5N 72.4W|-|15.0N 76.1W|-|16.0N 79.6W|-|17.2N 83.1W|-|18.1N 86.3W|-|18.6N 88.6W|-|19.2N 90.3W|-|19.5N 91.7W|-|19.8N 92.8W
HMONHurricane Multi-scale Ocean-coupled Non-hydrostatic model|14.4N 68.6W|14.2N 70.8W|14.1N 73.1W|14.0N 75.4W|14.1N 77.2W|14.3N 79.0W|14.6N 80.9W|15.2N 82.9W|15.4N 84.6W|15.7N 86.1W|16.1N 87.0W|16.3N 87.9W|16.8N 88.7W|17.4N 89.3W|18.1N 90.5W|18.7N 91.4W|19.1N 92.3W|19.5N 93.3W|19.6N 94.3W
HWRFHurricane Weather Research and Forecasting model|14.2N 69.5W|13.5N 71.6W|14.0N 73.2W|14.6N 75.6W|14.6N 78.0W|15.1N 79.5W|15.2N 82.0W|15.7N 84.0W|16.4N 85.7W|16.7N 87.3W|17.0N 88.3W|17.4N 89.4W|17.9N 90.3W|18.6N 90.8W|18.8N 91.4W|19.2N 92.0W|19.9N 92.1W|20.5N 92.8W|21.0N 93.1W
NAMNorth American Mesoscale model|14.3N 68.2W|14.2N 70.3W|14.6N 71.5W|15.1N 74.0W|15.4N 75.9W|15.7N 78.4W|16.2N 79.6W|16.9N 81.2W|17.5N 83.1W|17.7N 85.0W|19.2N 86.2W|19.9N 87.1W|20.6N 88.0W|-|-|-|-|-|-
NGXINAVGEM [GFS tracker] (Interpolated 06 hours) - 2013 and later (previously version of NOGAPS)|14.4N 68.2W|-|15.1N 71.8W|-|15.9N 75.9W|-|16.8N 80.5W|-|17.5N 84.6W|-|18.4N 87.5W|-|19.5N 89.7W|-|20.5N 91.6W|-|21.2N 93.0W|-|21.9N 94.0W
NVGMNavy Global Environmental Model (NAVGEM)|14.0N 68.4W|14.4N 70.2W|14.6N 72.3W|14.9N 74.2W|15.4N 76.1W|16.2N 78.2W|16.8N 80.7W|17.4N 82.9W|17.9N 84.9W|18.4N 86.5W|18.6N 87.9W|19.0N 89.0W|19.5N 90.3W|19.8N 91.2W|19.8N 92.3W|20.1N 92.9W|20.3N 93.3W|20.4N 93.7W|20.7N 94.2W
UKXIUKMET [GFS tracker] (Interpolated 06 hours)|14.1N 68.6W|-|14.5N 72.4W|-|15.1N 76.1W|-|16.1N 79.7W|-|17.2N 83.1W|-|18.1N 86.2W|-|18.7N 88.6W|-|19.3N 90.2W|-|19.7N 91.4W|-|20.1N 92.6W
